id;nombre;cantidad;fecha_ingreso;fecha_creacion;fecha_modificacion;usuario_creacion;usuario_modificacion
1;actitud;22191;2022-08-04T00:46:49;2022-08-04T17:37:45;2022-08-04T03:54:34;complejidad Buckinghamshire Morado;online
2;GB Rústico SDD;19378;2022-08-04T07:17:30;2022-08-04T17:50:59;2022-08-04T14:04:06;sensor Dinánmico;Gorro Canada
3;Datos arquitectura repurpose;52451;2022-08-04T14:29:37;2022-08-04T18:22:17;2022-08-04T09:33:13;Camerún portals;calculating Ladrillo North
4;payment;37270;2022-08-04T01:30:00;2022-08-04T16:53:18;2022-08-04T13:20:45;objetos invoice;Extrarradio
5;innovative Seguro;44740;2022-08-04T00:13:24;2022-08-04T07:14:00;2022-08-04T13:46:40;Navarra;Implementación connect
6;Queso;7688;2022-08-04T03:10:17;2022-08-04T02:52:03;2022-08-04T06:12:07;state Sabroso Buckinghamshire;Cine Atún
7;Kenia;7305;2022-08-04T06:15:19;2022-08-04T05:59:31;2022-08-04T05:29:40;Navarra terciaria generating;Amarillo plug-and-play
8;Madera;38494;2022-08-04T15:13:57;2022-08-04T13:22:47;2022-08-04T21:56:55;CSS red;focus matrix
9;mindshare;42494;2022-08-04T09:45:33;2022-08-04T14:47:02;2022-08-04T01:59:26;European Gerente;Masía data-warehouse circuito
10;architect Corporativo;31195;2022-08-04T17:02:00;2022-08-04T21:16:33;2022-08-04T01:14:28;invoice Informática;Andalucía Colonia
